appid,name,developer,publisher,score_rank,owners,owners_variance,players_forever,players_forever_variance,players_2weeks,players_2weeks_variance,average_forever,average_2weeks,median_forever,median_2weeks,ccu,price,Free to Play,MOBA,Strategy,Multiplayer,Team-Based,Action,e-sports,Online Co-Op,Competitive,PvP,RTS,Difficult,RPG,Tower Defense,Fantasy,Co-op,Character Customization,Replay Value,Action RPG,Simulation
423047,UWT - 3. 3DS Max Unwrap - Chapter 2.4,,,,689,954,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
423063,UWT - 4. S.P. Texturing - Chapter 1.2,,,,689,954,714,1397,0,0,11,0,11,0,0,,,,,,,,,,,,,,,,,,,,,
293820,Us and the Game Industry,Common Dreams Media,Common Dreams Media,,1379,1349,1379,1349,0,0,49,0,52,0,0,999,,,,,,,,,,,,,,,,,,,,
407100,Gulf of Aden - Task Force Somalia,BlewScreen,BlewScreen,100,1029,1162,686,949,0,0,27,0,27,0,0,999,,,25,,,23,,,,,,,,,,,,,,19
396010,The Rise of Chubtan,RadarJam,Kajak Games,39,1586,1172,1133,990,0,0,285,0,303,0,0,799,,,,,,21,,,,,,,,,,,,,,
586520,Castle Werewolf 3D,Drop_Dead_Fred (Фред),Enjoy Games,3,686,949,0,0,0,0,0,0,0,0,2,299,,,,,,22,,,,,,,,,,,,,,
302290,Infinite Game Works Episode 0,Sakura River Interactive,Sakura River Interactive,4,906,886,996,1125,0,0,176,0,212,0,0,1299,,,,,,,,,,,,,,,,,,,,28
393460,Crazy Pixel Streaker,Lubiterum,"The Sidekicks, Plug In Digital",90,906,886,680,767,0,0,148,0,148,0,0,499,,,,21,,31,,,,,,,,,,21,,,,
567600,RYAN BLACK,Trazzy Entertainment,Trazzy Entertainment,25,1034,1168,689,954,714,1397,178,19,178,19,0,999,,,,,,42,,,,,,,,,,,,,,
560730,The Esoterica: Hollow Earth,Happy Artist Games,Alawar Entertainment,100,714,1397,714,1397,714,1397,236,207,236,207,5,399,,,,,,,,,,,,,,,,,,,,
494320,Wizrogue - Labyrinth of Wizardry,Taito,Forever Entertainment S. A.,34,1359,1085,1133,990,906,886,51,33,71,35,117,995,,,,,,,,,,,,,21,,,,,,,
401210,Puzzle Sages,Aric Morrow,Aric Morrow,5,906,886,0,0,0,0,0,0,0,0,0,199,,,20,,,,,,,,,,19,,,,,,,
439550,n Verlore Verstand,Skobbejak Games,Skobbejak Games,11,1359,1085,996,1125,0,0,18,0,29,0,0,1499,,,,,,,,,,,,,,,13,,,,,
438340,Drizzlepath: Genie,Tonguç Bodur,Tonguç Bodur,25,2039,1329,906,886,0,0,167,0,219,0,4,399,,,,,,,,,,,,,,,,,,,,
396680,Sol Trader,Chris Parsons,Chris Parsons,32,714,1397,714,1397,0,0,39,0,39,0,1,1999,,,,,,,,,,,,,24,,,,,,,21
412790,Adventure Time: Magic Mans Head Games,Turbo Button,Cartoon Network,41,1586,1172,1359,1085,0,0,8,0,9,0,2,499,,,,,,21,,,,,,,,,,,,,,
455770,YamaYama,Lumenox ehf,Lumenox ehf,62,714,1397,714,1397,0,0,764,0,764,0,0,699,,,,10,,21,,,,,,,,,,,,,,
445730,Watch paint dry,,,,714,1397,714,1397,0,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,,
411870,Discovering Colors - Animals,Frogames,Frogames,100,1029,1162,1322,1830,0,0,21,0,29,0,0,399,,,,,,,,,,,,,,,,,,,,
456160,Flag N Frag,EDEVOX,EDEVOX,18,1812,1253,1328,1299,0,0,329,0,454,0,1,299,,,31,,,31,,,10,,,,,,,,,,,
36320,Iron Roses,Cateia Games,Sandlot Games,18,680,767,680,767,0,0,7356,0,7356,0,0,699,,,,,,,,,,,,,,,,,,,,
422270,City Play,FrameLineNetwork,FrameLineNetwork,5,689,954,667,1306,0,0,42,0,42,0,0,399,,,21,,,,,,,,,,,,,,,,,21
473840,Diibs Dilemma,Random Thoughts Enterainment,Random Thoughts Enterainment,77,906,886,661,1294,0,0,11,0,11,0,0,199,,,,,,21,,,,,,,21,,,,,,,
470440,Matris,Leaghorn,Leaghorn,99,714,1397,0,0,0,0,0,0,0,0,0,499,,,21,,,,,,,,,,,,,,,,,
479000,IrreVRsible,Raptor-Lab,Raptor-Lab,52,1379,1349,1034,1168,0,0,17,0,17,0,2,199,,,,,,22,,,,,,,,,,,,,,
336840,Color Guardians,Fair Play Labs,Niffler Ltd.,77,680,767,689,954,0,0,448,0,448,0,0,1499,,,,,,22,,,,,,,,,,,,,,
480780,Satanist,Dmitry,Dmitry,2,686,949,0,0,0,0,0,0,0,0,0,99,,,,,,,,,,,,,,,,,,,,
365110,After All,JAMgames,JAMgames,13,1359,1085,1334,1847,0,0,2,0,3,0,0,99,,,,,,,,,,,,,23,,,,,,,
364550,GameLoading: Marketing at PAX Prime,,,,1724,1508,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
468070,90 Minute Fever,Isokron,Isokron,35,1029,1162,1029,1162,661,1294,77,135,109,135,0,1999,,,,,,,,,,,,,,,,,,,,21
494370,Orbital Strike: Arena,Sandglass Games LLC,Sandglass Games LLC,62,1372,1342,1372,1342,0,0,18,0,21,0,1,1499,,,,,,21,,,,,,,,,,,,,,
411130,Leviathan: The Cargo,Lostwood,Lostwood,16,906,886,680,767,0,0,119,0,119,0,0,1099,,,,,,22,,,,,,,,,,,,,,
472720,Car Car Crash Hands On Edition,Chocolatefudge Games,Chocolatefudge Games,56,714,1397,714,1397,0,0,37,0,37,0,0,499,,,,,,21,,,,,,,,,,,,,,
443860,Riptide GP: Renegade,Vector Unit,Vector Unit,70,1034,1168,1034,1168,0,0,221,0,247,0,4,999,,,,,,6,,,,,,,,,,,,,,
363950,Windscape,Magic Sandbox,Headup Games,99,906,886,714,1397,0,0,130,0,130,0,0,1699,,,,,,22,,,,,,,22,,,,,,,
485970,Cyber Sentinel,mindhelix.pl,mindhelix.pl,84,2413,1785,0,0,0,0,0,0,0,0,0,999,,,,,,,,,,,,,,,,,,,,11
404590,Vikings - Wolves of Midgard,Games Farm,Kalypso Media Digital,,2266,1401,0,0,0,0,0,0,0,0,0,3399,,,,,,,,,,,,,,,,,,,,
498570,Extreme Forklifting 2,Devm Games,Devm Games,56,2492,1469,1586,1172,667,1306,40,5,39,5,0,199,,,,,,,,,,,,,,,,,,,,22
371810,Dreaming,Orange Valley,Orange Valley,34,1372,1342,661,1294,0,0,104,0,104,0,0,99,,,,,,,,,,,,,,,10,,,,,
460340,Guards,Battlecruiser Games,Battlecruiser Games,93,2266,1401,1812,1253,1334,1847,426,487,528,589,5,499,,,23,,,,,,,,,,,,13,,,,,
405670,Combat Core,MABManZ,MABManZ,80,1812,1253,1133,990,0,0,139,0,254,0,5,1599,,,,12,,23,,,11,,,,,,,,12,,,
510070,Shiperoids,Frizzank,Frizzank,32,1029,1162,661,1294,0,0,13,0,13,0,0,99,,,,,,23,,,,,,,,,,,,,,
377050,Professor TeachesÂ® Word 2013 & 365,Individual Software,Individual Software,,714,1397,0,0,0,0,0,0,0,0,0,1499,,,,,,,,,,,,,,,,,,,,
510990,LooWarVR,CrystalGame,CrystalGame,100,680,767,686,949,0,0,3,0,3,0,0,399,,,,,,22,,,,,,,20,,,,,,,
521920,Deaths Hangover,Retro Army Limited,Retro Army Limited,90,1586,1172,1328,1299,667,1306,100,91,134,91,1,499,,,,,,23,,,,,,,,,,,,,,
512110,Cosmos Crash VR,"Viriver Network Technology Co., Ltd.","Viriver Network Technology Co., Ltd.",95,1029,1162,714,1397,0,0,241,0,241,0,0,999,,,,,,,,,,,,,,,,,,,,
514670,Satellite Command,Stormtide,Stormtide,18,1586,1172,1359,1085,680,767,754,22,1117,22,0,849,,,,,,,,,,,,,,,,,,,,23
497800,Golden Krone Hotel,Vulgat,Vulgat,100,689,954,0,0,0,0,0,0,0,0,0,499,,,22,,,,,,,,,,22,,,,,,,
538700,TURGUL: RAPID FIGHTING,dynamicsoulworks,OtakuMaker.com,,680,767,664,918,0,0,215,0,215,0,0,499,,,,,,,,,,,,,,,,,,,,
392780,Mondrian - Abstraction in Beauty,Lantana Games,Lantana Games,32,3172,1657,1812,1253,0,0,309,0,315,0,0,499,,,,,,,,,,,,,,,,,,,,
535160,Fire in the Goal,Wild Planet Studio,Wild Planet Studio,93,714,1397,714,1397,0,0,67,0,67,0,0,499,,,,,,21,,,,,,,,,,,,,,
405240,Queen Under The Mountain,Michael Todd Games,Michael Todd Games,43,906,886,680,767,661,1294,187,1,187,1,0,1499,,,,,,,,,,,,,,,,,,,,21
532470,In Extremis,LNDFRR,LNDFRR,100,714,1397,714,1397,0,0,430,0,430,0,0,999,,,,,,21,,,,,,,,,,,,,,
542930,Painted Memories,Useless Machines,Useless Machines,100,2492,1469,2039,1329,2039,1329,220,220,243,243,272,499,,,,,,21,,,,,,,,,,,,,,
538920,Fiery Disaster,Vogelfänger,Vogelfänger,20,686,949,0,0,0,0,0,0,0,0,1,199,,,52,,,51,,,,,,20,,32,,,,30,,
