"","score_rank","average_forever","price","Strategy","Multiplayer","Action","COOP","Early_Access","Open_World","Adventure","Indie","Casual","Horror","Puzzle","Platformer","Two_Dimensional","Pixel_Graphics","Point_And_Click","VR"
"182",98,2908,1499,0,1,0,0,0,1,0,1,1,0,0,0,1,1,0,0
"183",84,3808,1999,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"184",54,185,0,0,1,1,1,0,0,0,1,1,0,1,0,0,0,0,0
"185",90,1778,1999,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"186",34,1499,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"187",52,424,2999,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0
"189",41,1160,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0
"190",62,1142,1999,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0
"191",50,882,0,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0
"193",31,611,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0
"194",90,1638,2999,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0
"195",84,1181,1499,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"196",80,228,1499,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0
"197",54,1705,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0
"198",98,783,2499,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0
"199",37,167,0,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0
"200",70,1182,999,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
"201",41,4421,1999,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
"202",34,254,0,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0
"203",77,446,0,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0
"204",56,723,0,1,1,1,1,0,0,1,1,1,0,1,1,1,0,0,0
"206",98,350,999,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0
"207",70,2850,2499,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
"208",65,407,1999,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
"209",77,1563,3999,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0
"211",43,664,0,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0
"212",67,3230,1999,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0
"213",84,2523,1499,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0
"214",50,953,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1
"215",39,302,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0
"216",73,563,3999,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0
"218",50,493,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0
"219",52,4293,2499,0,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0
"220",98,987,2999,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0
"221",14,594,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0
"223",8,301,0,0,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0
"224",67,702,1499,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"225",80,2316,2999,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
"226",21,143,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
"227",84,128,0,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0
"228",34,472,1999,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0
"231",17,3126,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0
"232",84,883,1999,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0
"234",80,1315,1999,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"235",93,634,799,1,0,1,0,1,1,1,1,1,0,1,0,0,0,0,0
"236",98,6270,1499,0,0,1,1,0,0,0,1,0,1,0,0,1,1,0,0
"237",93,3996,1999,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"238",84,421,999,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0
"239",65,1535,999,1,1,1,1,0,0,0,1,1,0,0,1,1,0,0,0
"240",52,2193,3999,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0
"241",50,231,149,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0
"242",93,2346,1999,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
"243",35,335,1999,0,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0
"244",95,350,999,1,0,0,0,0,0,1,1,1,0,1,0,1,1,1,0
"245",17,167,0,0,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0
"246",56,822,1999,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0
"247",54,663,0,1,1,1,1,0,0,1,1,1,0,0,0,1,0,0,0
"248",93,857,1999,1,0,0,0,0,1,1,1,0,0,0,1,1,0,1,0
"249",98,4335,3999,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
"250",93,1666,1499,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
"251",77,1838,1999,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0
"252",80,451,2999,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0
"253",56,219,999,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1
"254",5,475,0,0,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0
"255",87,2237,5999,0,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0
"256",41,3614,5999,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0
"257",84,1012,5999,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0
"258",59,1077,999,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0
"259",32,2764,1999,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0
"260",28,406,1999,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"261",28,277,1999,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"262",98,412,1499,1,0,1,0,0,0,1,1,1,0,1,1,1,0,0,0
"263",7,2480,0,1,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0
"264",90,428,2999,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0
"265",95,368,1999,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0
"266",84,462,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0
"267",43,4505,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0
"268",90,557,999,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
"270",90,2250,999,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"271",87,336,1299,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"272",25,1192,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0
"273",90,1383,1999,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
"274",56,106,799,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
"275",67,120,1499,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0
"276",80,447,1499,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0
"277",95,292,1499,0,1,1,1,0,0,1,1,1,0,1,1,1,0,0,0
"278",87,2271,1999,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0
"279",34,196,0,0,1,1,0,1,1,1,1,1,0,0,0,0,0,0,1
"280",70,295,999,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0
"281",70,1083,1999,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0
"282",67,823,1999,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0
"283",45,641,1999,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0
"284",54,5029,1499,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0
"285",80,195,999,0,0,1,0,0,0,1,1,1,0,1,1,1,1,0,0
"286",87,599,999,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0
"287",84,479,1999,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0,0
"288",73,268,0,0,1,1,1,0,0,0,1,1,1,1,0,0,0,0,0
"289",59,229,999,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0
"290",54,148,0,0,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0
"291",80,993,1999,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
"292",45,223,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1
"293",90,1074,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0
"294",98,440,999,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0
"295",73,85,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0
"296",90,540,899,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"297",93,413,999,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0
"298",87,1378,1999,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
"299",93,435,999,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0
"300",12,2674,3999,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
"301",90,1012,999,0,1,1,1,0,0,0,1,0,0,0,1,1,1,0,0
"302",25,4970,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
"303",14,532,5999,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"304",14,2146,5999,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"305",29,690,2999,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0
"306",43,492,0,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0
"307",84,1073,1999,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"308",84,1425,1999,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"309",45,161,499,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0
"310",56,408,1499,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0
"311",84,7081,3999,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"312",87,974,1499,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0
"313",93,452,999,0,0,1,1,0,0,0,1,1,0,1,0,0,0,0,0
"314",67,216,999,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0
"315",4,96,0,0,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0
"316",80,248,1499,1,1,1,1,0,0,1,1,1,0,0,0,1,1,0,0
"317",16,4297,5999,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
"318",77,1175,1999,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0
"319",70,463,999,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"320",13,917,0,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0
"321",39,106,499,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0
"322",31,406,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0
"323",35,99,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"324",28,358,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0
"325",87,1304,5999,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0
"326",90,563,1999,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0
"327",87,546,1999,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0
"328",67,4409,5999,0,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0
"329",43,973,999,0,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0
"330",77,441,1999,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0
"331",80,299,999,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
"332",90,973,299,0,0,1,0,0,0,1,1,0,0,0,1,1,1,0,0
"333",90,639,1499,0,1,1,1,0,0,0,1,0,0,0,1,1,0,0,0
"334",31,4544,5999,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
"335",62,1499,999,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0
"336",93,165,1499,0,1,1,0,0,0,1,1,1,0,1,1,0,0,0,0
"337",80,1205,1999,0,1,1,0,1,1,1,1,0,1,0,0,0,0,0,0
"338",34,785,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
"339",45,3345,5999,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0
"340",73,476,0,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0
"341",70,192,699,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
