@relation R_data_frame

@attribute score_rank numeric
@attribute average_forever numeric
@attribute price numeric
@attribute Strategy numeric
@attribute Multiplayer numeric
@attribute Action numeric
@attribute COOP numeric
@attribute Early_Access numeric
@attribute Open_World numeric
@attribute Adventure numeric
@attribute Indie numeric
@attribute Casual numeric
@attribute Horror numeric
@attribute Puzzle numeric
@attribute Platformer numeric
@attribute Two_Dimensional numeric
@attribute Pixel_Graphics numeric
@attribute Point_And_Click numeric
@attribute VR numeric

@data
80,447,1499,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0
95,292,1499,0,1,1,1,0,0,1,1,1,0,1,1,1,0,0,0
87,2271,1999,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0
34,196,0,0,1,1,0,1,1,1,1,1,0,0,0,0,0,0,1
70,295,999,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0
70,1083,1999,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0
67,823,1999,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0
45,641,1999,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0
54,5029,1499,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0
80,195,999,0,0,1,0,0,0,1,1,1,0,1,1,1,1,0,0
87,599,999,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0
84,479,1999,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0,0
73,268,0,0,1,1,1,0,0,0,1,1,1,1,0,0,0,0,0
59,229,999,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0
54,148,0,0,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0
80,993,1999,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
45,223,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1
90,1074,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0
98,440,999,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0
73,85,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0
90,540,899,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
93,413,999,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0
87,1378,1999,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
93,435,999,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0
12,2674,3999,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
90,1012,999,0,1,1,1,0,0,0,1,0,0,0,1,1,1,0,0
25,4970,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
14,532,5999,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
14,2146,5999,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
29,690,2999,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0
43,492,0,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0
84,1073,1999,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,1425,1999,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,161,499,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0
56,408,1499,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0
84,7081,3999,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
87,974,1499,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0
93,452,999,0,0,1,1,0,0,0,1,1,0,1,0,0,0,0,0
67,216,999,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0
4,96,0,0,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0
80,248,1499,1,1,1,1,0,0,1,1,1,0,0,0,1,1,0,0
16,4297,5999,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
77,1175,1999,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0
70,463,999,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,917,0,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0
39,106,499,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0
31,406,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0
35,99,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
28,358,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0
87,1304,5999,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0
90,563,1999,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0
87,546,1999,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0
67,4409,5999,0,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0
43,973,999,0,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0
77,441,1999,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0
80,299,999,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
90,973,299,0,0,1,0,0,0,1,1,0,0,0,1,1,1,0,0
90,639,1499,0,1,1,1,0,0,0,1,0,0,0,1,1,0,0,0
31,4544,5999,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
62,1499,999,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0
93,165,1499,0,1,1,0,0,0,1,1,1,0,1,1,0,0,0,0
80,1205,1999,0,1,1,0,1,1,1,1,0,1,0,0,0,0,0,0
34,785,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
45,3345,5999,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0
73,476,0,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0
70,192,699,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
90,252,999,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
50,55,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
95,577,399,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
90,228,1499,1,0,1,0,0,0,1,1,1,0,1,1,1,0,0,0
80,106,599,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
62,3526,1999,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0
80,2173,0,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0
80,1545,1999,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0
70,2587,1999,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0
56,1457,1999,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0
