@relation R_data_frame

@attribute score_rank numeric
@attribute price numeric
@attribute Strategy numeric
@attribute Multiplayer numeric
@attribute Action numeric
@attribute COOP numeric
@attribute Early_Access numeric
@attribute Open_World numeric
@attribute Adventure numeric
@attribute Indie numeric
@attribute Casual numeric
@attribute Horror numeric
@attribute Puzzle numeric
@attribute Platformer numeric
@attribute Two_Dimensional numeric
@attribute Pixel_Graphics numeric
@attribute Point_And_Click numeric
@attribute VR numeric
@attribute likely_to_succeed numeric

@data
93,1499,0,0,1,0,0,0,1,1,1,0,0,1,1,1,0,0,0
73,999,0,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,1
41,0,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,1
70,1999,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
56,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1
98,999,1,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,1
84,1999,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1
56,1999,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
73,999,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
45,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1
77,999,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1
73,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,1
56,999,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
45,5995,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
98,1999,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1
25,0,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0
87,1999,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
90,2999,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1
98,1499,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0
54,0,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,1
95,999,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1
7,0,0,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0,1
41,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
98,1499,0,1,1,1,0,0,1,1,1,0,1,1,1,0,0,0,1
95,1499,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1
39,99,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0
73,1999,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
43,999,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1
56,1999,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1
98,1499,0,1,0,0,0,1,0,1,1,0,0,0,1,1,0,0,1
84,1999,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
54,0,0,1,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0
90,1999,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
34,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
52,2999,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
41,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1
62,1999,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1
50,0,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,1
31,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1
90,2999,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1
84,1499,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
80,1499,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0
54,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1
98,2499,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1
37,0,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0
70,999,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
41,1999,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1
34,0,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0
77,0,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,1
56,0,1,1,1,1,0,0,1,1,1,0,1,1,1,0,0,0,1
98,999,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0
70,2499,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1
65,1999,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
