"","score_rank","average_forever","price","Strategy","Multiplayer","Action","RPG","Simulation","Adventure","Singleplayer","Indie","Casual","Atmospheric","Great Soundtrack","Puzzle","2D"
"173",95,"[931,41947]",999,0,0,0,1,0,0,1,1,0,0,1,0,1
"174",7,"[475,  931)",0,0,1,1,1,0,1,0,1,0,0,0,0,0
"175",41,"[317,  475)",0,1,1,1,0,0,0,0,0,0,0,0,0,0
"176",98,"[317,  475)",1499,0,1,1,0,0,1,1,1,1,0,1,1,1
"177",95,"[475,  931)",1499,1,1,1,1,0,1,1,1,0,0,1,0,0
"178",39,"[203,  246)",99,1,1,1,0,0,1,1,1,0,0,0,0,0
"179",73,"[317,  475)",1999,0,0,1,1,0,1,1,0,0,1,0,0,0
"180",43,"[931,41947]",999,0,1,1,0,0,1,1,0,0,0,1,0,0
"181",56,"[931,41947]",1999,0,0,1,1,0,1,1,0,0,1,1,0,0
"182",98,"[931,41947]",1499,0,1,0,1,1,0,1,1,1,1,1,0,1
"183",84,"[931,41947]",1999,1,1,1,0,1,0,1,0,0,0,1,0,0
"184",54,"[165,  203)",0,0,1,1,0,1,0,1,1,1,0,0,1,0
"185",90,"[931,41947]",1999,1,1,1,0,0,0,1,0,0,0,0,0,0
"186",34,"[931,41947]",0,1,1,1,0,0,0,1,0,0,0,1,0,0
"187",52,"[317,  475)",2999,0,1,1,1,0,1,1,0,0,1,1,0,0
"189",41,"[931,41947]",0,1,1,1,0,1,1,1,0,0,1,0,0,0
"190",62,"[931,41947]",1999,0,1,1,0,0,1,1,0,0,1,0,0,0
"191",50,"[475,  931)",0,0,1,1,1,0,1,0,0,1,0,0,0,0
"193",31,"[475,  931)",0,0,1,1,0,0,1,1,0,0,0,1,0,0
"194",90,"[931,41947]",2999,1,0,1,0,1,0,1,1,1,0,0,0,1
"195",84,"[931,41947]",1499,1,0,0,0,1,0,1,0,0,1,1,0,0
"196",80,"[203,  246)",1499,0,0,0,0,0,1,1,1,1,1,0,1,0
"197",54,"[931,41947]",0,0,1,1,1,0,1,1,0,0,0,0,0,0
"198",98,"[475,  931)",2499,0,0,1,0,0,1,1,0,0,1,0,0,0
"199",37,"[165,  203)",0,1,1,1,0,1,1,1,1,0,0,0,0,0
"200",70,"[931,41947]",999,0,0,1,1,0,1,1,0,0,1,0,0,0
"201",41,"[931,41947]",1999,1,1,1,0,1,1,1,0,0,1,1,0,0
"202",34,"[246,  317)",0,1,1,1,0,1,0,0,1,0,0,0,0,0
"203",77,"[317,  475)",0,1,1,1,0,1,1,1,0,1,0,0,0,0
"204",56,"[475,  931)",0,1,1,1,0,0,1,0,1,1,0,0,1,1
